   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.40245,             0.26911,             0.20791,            0.075887,              0.0884,            0.010376,           0.0010864,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.38392,             0.29588,             0.22548,            0.082072,            0.095769,           0.0099168,            0.001181,                0.01,                0.01,               0.937,             0.00049,              2.9883,                 0.8,             0.09843,             0.05427,             0.50297,               1.073,             0.97529,                   1,                 0.2,              3.9251,                   0,               0.015,             0.67857,             0.43731,                   0,             0.08967,             0.46436,                   0,                   0,                   0,                 0.5,             0.99848,                   0,                   0,                   3
             0.43879,             0.22762,             0.19573,            0.070791,            0.090265,           0.0083004,          0.00085278,             0.00927,             0.01169,               0.937,             0.00049,              2.6768,             0.81445,             0.09508,              0.0526,             0.53664,              1.1877,             0.82593,             0.85804,                 0.2,              3.9426,                   0,             0.01505,              0.6656,             0.43731,                   0,             0.09771,             0.53184,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3564
             0.51361,             0.26095,             0.23048,            0.083727,            0.092649,            0.010239,           0.0014234,             0.01046,                0.01,               0.937,             0.00052,              2.9953,             0.76291,             0.10246,             0.05319,             0.50227,              1.0575,             0.95016,              1.0047,                 0.2,               4.113,                   0,             0.01399,             0.64677,             0.43731,                   0,             0.09053,             0.45922,                   0,                   0,                   0,                 0.5,             0.99844,                   0,                   0,              2.9676
             0.50333,              0.2304,             0.22968,            0.084341,            0.091959,            0.010227,          0.00092768,             0.01053,             0.01021,             0.93861,             0.00053,              2.9953,             0.76372,             0.10041,             0.05319,             0.50227,              1.0649,             0.98645,              1.0065,                 0.2,              4.0964,                   0,             0.01399,             0.62608,             0.43727,                   0,             0.09053,             0.45922,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9676
              0.5362,             0.25393,             0.24057,            0.087556,            0.096299,            0.010324,          0.00094384,             0.01053,             0.01043,             0.94929,             0.00053,              3.1712,             0.75475,             0.10041,             0.05975,              0.4845,             0.98659,             0.98687,             0.95946,                 0.2,              3.8196,                   0,             0.01389,             0.67611,             0.44052,                   0,             0.09053,             0.38732,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8226
             0.59679,             0.25393,             0.24355,            0.081688,             0.11353,            0.012329,           0.0015676,             0.01053,             0.01106,             0.92997,             0.00047,              2.7186,             0.66969,             0.10815,             0.06873,             0.45254,              1.0454,              1.0948,              1.0704,                 0.2,              3.8196,                   0,             0.01302,             0.54783,             0.44052,                   0,             0.09053,             0.34959,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9894
             0.43796,             0.25393,             0.24807,            0.089431,             0.12486,            0.010356,           0.0012252,             0.01053,              0.0103,             0.94929,             0.00052,              3.1735,             0.71909,             0.08577,             0.07003,             0.67162,             0.93089,               1.338,             0.65058,                 0.2,              3.6535,                   0,             0.01177,             0.59892,             0.45107,                   0,             0.07939,             0.36362,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5499
             0.49575,             0.24563,              0.2303,            0.074934,             0.11157,            0.011874,            0.001487,             0.01056,              0.0103,             0.97951,             0.00052,              3.1931,             0.71909,             0.08577,             0.06625,             0.67162,             0.95562,              1.3307,             0.64493,                 0.2,              3.7942,                   0,             0.01151,             0.62199,             0.45107,                   0,             0.08192,             0.39344,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3347
             0.43377,             0.24356,             0.22439,            0.074068,             0.12917,           0.0099962,          0.00075361,              0.0123,             0.01025,             0.96679,             0.00045,               2.867,             0.58827,             0.10353,             0.07003,             0.83207,              1.0011,              1.4196,             0.52842,                 0.2,              3.8978,                   0,             0.01318,             0.61421,             0.42808,                   0,             0.07939,             0.36362,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5458
