               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15107,            0.024504,            0.028035,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.091,               0.001,               0.001
                   1,             0.13879,            0.020226,            0.017526,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.080996,            0.001996,            0.001996
                   2,             0.13151,             0.01814,           0.0090803,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070883,           0.0028832,           0.0028832
                   3,             0.12795,            0.017634,            0.004426,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.060661,           0.0036614,           0.0036614
                   4,             0.12389,            0.017621,           0.0027226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050331,           0.0043308,           0.0043308
                   5,              0.1208,            0.017046,           0.0025309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039891,           0.0048912,           0.0048912
                   6,             0.11857,            0.017706,           0.0020351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.029343,           0.0053428,           0.0053428
                   7,             0.11252,             0.01683,           0.0014855,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.018685,           0.0056854,           0.0056854
                   8,             0.11271,            0.017352,           0.0016553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079192,           0.0059192,           0.0059192
                   9,             0.10918,            0.015607,           0.0016341,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  10,             0.10702,            0.017165,           0.0010865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.10282,            0.017622,           0.0010313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.10345,            0.015833,          0.00082681,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.10078,            0.017269,          0.00084008,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.098216,            0.015829,          0.00077915,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.095698,            0.016831,          0.00072243,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.095859,            0.016073,          0.00061104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.092972,            0.016198,          0.00063971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.091517,            0.016016,          0.00059416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.09169,            0.016956,          0.00047399,             0.40245,             0.26911,             0.20791,            0.075887,              0.0884,            0.010376,           0.0010864,             0.00109,             0.00109,             0.00109
                   0,             0.16632,            0.023861,            0.029133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.089587,               0.001,               0.001
                   1,             0.15059,            0.019752,            0.017737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.079756,            0.001996,            0.001996
                   2,             0.14308,            0.017605,           0.0087853,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069816,           0.0028832,           0.0028832
                   3,             0.13917,            0.017144,           0.0045872,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.059767,           0.0036614,           0.0036614
                   4,             0.13376,            0.017009,           0.0027895,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.049609,           0.0043308,           0.0043308
                   5,             0.12995,            0.017148,            0.002567,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039342,           0.0048912,           0.0048912
                   6,             0.12793,            0.016934,           0.0021635,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028966,           0.0053428,           0.0053428
                   7,             0.12274,            0.016283,           0.0015029,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.018481,           0.0056854,           0.0056854
                   8,             0.12068,            0.016702,           0.0016135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078878,           0.0059192,           0.0059192
                   9,             0.11707,            0.015326,           0.0018699,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  10,             0.11605,            0.016719,           0.0012019,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,              0.1139,            0.016914,           0.0011209,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.11232,            0.015834,          0.00089532,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.10859,            0.016883,          0.00079427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,              0.1067,            0.015045,          0.00071024,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.10495,            0.015923,            0.000753,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.10603,            0.016421,          0.00064529,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,             0.10223,            0.016291,          0.00074756,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.099661,            0.016013,          0.00062946,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
