               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11287,            0.027366,            0.041078,          0.00031284,            0.022822,          0.00018248,          3.1365e-05,             0.10429,            0.014376,            0.037078,            0.078578,             0.00245,             0.00245
                   1,             0.10059,            0.022866,            0.012982,          0.00049351,            0.039419,          0.00034336,          8.6115e-05,            0.098753,            0.012777,            0.019099,            0.061117,           0.0049728,           0.0049728
                   2,            0.098466,            0.017616,           0.0045229,             0.51081,            0.022822,           0.0023366,          0.00036019,             0.10159,            0.010397,           0.0032388,            0.043605,           0.0074446,           0.0074446
                   3,            0.097704,            0.016355,           0.0020652,             0.52546,            0.037344,           0.0080957,           0.0015033,             0.10104,           0.0091932,           0.0011788,            0.026043,           0.0098655,           0.0098655
                   4,            0.098056,            0.013799,           0.0015101,             0.54505,            0.064315,            0.016298,           0.0041854,            0.098572,            0.008834,           0.0019092,            0.011765,            0.011765,            0.011765
                   5,            0.095819,            0.014439,           0.0013035,            0.070548,            0.056071,            0.026898,           0.0072661,            0.092276,            0.011232,          0.00087998,            0.011765,            0.011765,            0.011765
                   6,            0.091872,            0.016929,           0.0016287,             0.10307,             0.15773,            0.042358,            0.010332,            0.090702,            0.012385,           0.0015503,            0.011644,            0.011644,            0.011644
                   7,            0.088361,            0.015934,           0.0011174,             0.15623,              0.1176,             0.05303,            0.012318,            0.088246,            0.011874,           0.0017888,            0.011522,            0.011522,            0.011522
                   8,            0.087451,             0.01731,          0.00098002,             0.22058,             0.19513,            0.082232,            0.019413,            0.083153,            0.013449,             0.00192,            0.011401,            0.011401,            0.011401
                   9,            0.080687,            0.017211,          0.00084806,             0.26133,             0.18394,             0.10774,            0.036062,            0.078926,             0.01267,           0.0013259,             0.01128,             0.01128,             0.01128
                  10,            0.082167,            0.017879,           0.0008061,             0.23076,              0.2247,             0.11984,            0.032477,             0.07787,            0.013555,           0.0015615,            0.011159,            0.011159,            0.011159
